"","STRM_ORDER","LifeStage","dens","yr","PopGrp","ID_Num","UTM_E","UTM_N","WidthM","W3Dppt","MWMT_Index","StrmPow","SprPpt","IP_COHO","SolMean","StrmSlope","OUT_DIST","Panel","UTM_E_km","UTM_N_km","fYr","fSTRM_ORDER","est","est_non_rf","est_rf","epsilon_st"
"1",3,"Spwn",52.5,2005,"Necanicum",1790,430395,5095640,-0.575132895057406,-0.212292287199326,0.242143410385375,-0.774716861289006,-0.334246932691143,1.64707492920041,-0.305354841252217,0.10072403765573,-1.1176390298803,"once",430.395,5095.64,"2005","3",3.12946367847088,2.49445997968957,0.635003698781304,0.635003698781304
"2",3,"Spwn",157.5,2009,"Necanicum",1790,430395,5095640,-0.575132895057406,-0.787699883059714,0.420077297479503,-0.774716861289006,-0.879468636363289,1.64707492920041,-0.305354841252217,0.10072403765573,-1.1176390298803,"once",430.395,5095.64,"2009","3",3.98122995075881,2.45823208889529,1.52299786186352,1.52299786186352
"3",3,"Spwn",117.5,2012,"Necanicum",1790,430395,5095640,-0.575132895057406,-1.07350339170371,-0.53297224760197,-0.774716861289006,0.808850037380709,1.64707492920041,-0.305354841252217,0.10072403765573,-1.1176390298803,"once",430.395,5095.64,"2012","3",3.43815853735137,2.59684028379241,0.84131825355896,0.84131825355896
"4",2,"Spwn",0.8041171,1998,"Necanicum",1797,430486,5091933,-0.726901901018925,3.72567720058628,0.121902690901272,-0.0106679107687526,3.34952300099265,-0.0727768123117466,-0.305354841252217,-0.021329897498325,-1.06985196886984,"nine",430.486,5091.933,"1998","2",1.360417663491,2.19878649867535,-0.838368835184343,-0.838368835184343
"5",2,"Spwn",21.71116,2005,"Necanicum",1797,429655,5092290,-0.726901901018925,1.07800413812829,0.666179602437659,-0.0106679107687526,0.973065810458843,-0.0727768123117466,-0.305354841252217,-0.021329897498325,-1.06985196886984,"nine",429.655,5092.29,"2005","2",2.72564540564717,2.08182744868637,0.643817956960807,0.643817956960807
"6",2,"Spwn",4.824702,2011,"Necanicum",1796,430486,5091933,-0.844605501957256,0.858520725572564,0.555497879190386,-0.0106679107687526,1.26943014923968,-0.0727768123117466,-0.138838688846256,-0.021329897498325,-1.05670224223396,"nine",430.486,5091.933,"2011","2",2.5190897923973,2.11831050813634,0.40077928426096,0.40077928426096
"7",2,"Spwn",0,2012,"Necanicum",1796,430486,5091933,-0.844605501957256,-0.547883375141679,-0.183187871479641,-0.0106679107687526,2.27000619764295,-0.0727768123117466,-0.138838688846256,-0.021329897498325,-1.05670224223396,"nine",430.486,5091.933,"2012","2",2.50095651844137,2.20347239102546,0.297484127415913,0.297484127415913
"8",3,"Spwn",0,2005,"Necanicum",1805,426809,5090828,-0.741138189685332,0.0584989360837162,-1.56419411859071,1.15277088609665,0.200760771594754,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.809,5090.828,"2005","3",2.98813551550561,2.38436111428453,0.603774401221078,0.603774401221078
"9",3,"Spwn",6.756757,2006,"Necanicum",1805,426809,5090828,-0.741138189685332,0.33480099829673,-1.2670062471079,1.15277088609665,-0.303446577952766,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.809,5090.828,"2006","3",1.90482661458321,2.34523928389172,-0.440412669308507,-0.440412669308507
"10",3,"Spwn",1.351351,2007,"Necanicum",1805,426809,5090828,-0.741138189685332,0.0851029860904713,-1.57018060517406,1.15277088609665,0.768152396415347,-0.0727768123117466,-1.43275767988485,0.865143300958282,-1.05496573599474,"annual",426.809,5090.828,"2007","3",2.10052800007409,2.37365111230763,-0.273123112233549,-0.273123112233549
